,abs_coef
top3deg_share,32.77593030283532
thr_mu_plus_sigma_deg,26.117821425602035
maxdeg_share,22.73298422334699
hhi_tot_deg,20.53717369064675
hhi_in_deg,15.308469426942974
gini_in_deg,14.368404654120859
hhi_out_deg,9.34368333787346
avg_in_deg,6.592275393508981
avg_out_deg,6.592275393508981
avg_tot_deg,6.592275393508035
centr_betweenness,6.400514850656558
largest_scc_ratio,5.567204059674596
n_nodes,4.834737119750168
gini_out_deg,4.411422346835592
ratio_hubs_arcade,3.7881337495845444
num_hubs_arcade,3.482259857706874
centr_out_deg,3.4393859877891844
n_edges,3.0441828557395727
centr_tot_deg,2.77102538839529
max_over_median_deg,2.4073265894040197
centr_in_deg,1.5033379812847356
gini_tot_deg,1.4465550958035842
